point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,5.1648354530e-01,5.4945056327e-03,4.8349738121e-01,nan,nan,4.2736548930e-03,1.8264126993e-05,1.0199612938e-02,9.9985146523e-01,9.9985146523e-01,1.0204178970e-02
interior,,5.2197802067e-01,5.4945056327e-03,4.7800165415e-01,nan,nan,5.2777887322e-03,2.7855054213e-05,1.0210641660e-02,1.0005571842e+00,1.0005571842e+00,1.0217605423e-02
interior,,5.2747255564e-01,5.4945056327e-03,4.7250378132e-01,nan,nan,4.8765996471e-03,2.3781223717e-05,1.0209605098e-02,1.0004907846e+00,1.0004907846e+00,1.0215550404e-02
interior,,5.3296703100e-01,5.4945056327e-03,4.6700701118e-01,nan,nan,5.4320027120e-03,2.9506652936e-05,1.0209219530e-02,1.0004662275e+00,1.0004662275e+00,1.0216596193e-02
interior,,5.3846156597e-01,5.4945056327e-03,4.6151015162e-01,nan,nan,5.4113692604e-03,2.9282917239e-05,1.0207144544e-02,1.0003334284e+00,1.0003334284e+00,1.0214465273e-02
interior,,5.4395604134e-01,5.4945056327e-03,4.5601636171e-01,nan,nan,1.0273565538e-02,1.0554614710e-04,1.0185161605e-02,9.9892640114e-01,9.9892640114e-01,1.0211548142e-02
interior,,5.4945057631e-01,5.4945056327e-03,4.5051980019e-01,nan,nan,8.6508318782e-03,7.4836891145e-05,1.0221466422e-02,1.0012495518e+00,1.0012495518e+00,1.0240175645e-02
interior,,5.5494505167e-01,5.4945056327e-03,4.4502344728e-01,nan,nan,1.1948398314e-02,1.4276422735e-04,1.0204185732e-02,1.0001441240e+00,1.0001441240e+00,1.0239876789e-02
interior,,5.6043958664e-01,5.4945056327e-03,4.3952786922e-01,nan,nan,1.3899650425e-02,1.9320027786e-04,1.0206189007e-02,1.0002722740e+00,1.0002722740e+00,1.0254489076e-02
interior,,5.6593406200e-01,5.4945056327e-03,4.3403214216e-01,nan,nan,1.5172384679e-02,2.3020125809e-04,1.0205913335e-02,1.0002546310e+00,1.0002546310e+00,1.0263463650e-02
interior,,5.7142859697e-01,5.4945056327e-03,4.2853623629e-01,nan,nan,1.6802527010e-02,2.8232490877e-04,1.0207001120e-02,1.0003242493e+00,1.0003242493e+00,1.0277582347e-02
interior,,5.7692307234e-01,5.4945056327e-03,4.2303985357e-01,nan,nan,1.8706876785e-02,3.4994725138e-04,1.0209620930e-02,1.0004918575e+00,1.0004918575e+00,1.0297107743e-02
interior,,5.8241760731e-01,5.4945056327e-03,4.1754263639e-01,nan,nan,1.7502108589e-02,3.0632381095e-04,1.0208523832e-02,1.0004216433e+00,1.0004216433e+00,1.0285104785e-02
interior,,5.8791208267e-01,5.4945056327e-03,4.1205114126e-01,nan,nan,-3.0775867403e-02,9.4715401065e-04,1.0103957728e-02,9.9372071028e-01,9.9372071028e-01,1.0340746230e-02
interior,,5.9340661764e-01,5.4945056327e-03,4.0656390786e-01,nan,nan,6.7706685513e-03,4.5841952669e-05,1.0342573747e-02,1.0089794397e+00,1.0089794397e+00,1.0354034235e-02
interior,,5.9890109301e-01,5.4945056327e-03,4.0105560422e-01,nan,nan,2.4082237855e-02,5.7995418319e-04,1.0206497274e-02,1.0002920628e+00,1.0002920628e+00,1.0351485820e-02
interior,,6.0439562798e-01,5.4945056327e-03,3.9555990696e-01,nan,nan,2.5923047215e-02,6.7200436024e-04,1.0207138024e-02,1.0003330708e+00,1.0003330708e+00,1.0375139114e-02
interior,,6.0989010334e-01,5.4945056327e-03,3.9006397128e-01,nan,nan,2.7359317988e-02,7.4853230035e-04,1.0207087733e-02,1.0003297329e+00,1.0003297329e+00,1.0394220808e-02
interior,,6.1538463831e-01,5.4945056327e-03,3.8456806540e-01,nan,nan,2.8851414099e-02,8.3240406821e-04,1.0207938962e-02,1.0003843307e+00,1.0003843307e+00,1.0416039979e-02
interior,,6.2087911367e-01,5.4945056327e-03,3.7907159328e-01,nan,nan,3.0145147815e-02,9.0872991132e-04,1.0209959000e-02,1.0005134344e+00,1.0005134344e+00,1.0437141478e-02
