point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,4.0659341216e-01,5.4945056327e-03,5.9335633904e-01,nan,nan,6.1737290672e-02,3.8114930596e-03,1.8826321205e-01,9.9988060048e-01,9.9988060048e-01,3.8114930596e-03
interior,,4.1208791733e-01,5.4945056327e-03,5.8786257322e-01,nan,nan,8.0796633713e-02,6.5280960194e-03,1.8828298720e-01,9.9994338546e-01,9.9994338546e-01,6.5280960194e-03
interior,,4.1758242249e-01,5.4945056327e-03,5.8236846821e-01,nan,nan,8.6254812235e-02,7.4398926338e-03,1.8829945220e-01,9.9999565937e-01,9.9999565937e-01,7.4398926338e-03
interior,,4.2307692766e-01,5.4945056327e-03,5.7687417212e-01,nan,nan,7.8986232260e-02,6.2388248866e-03,1.8830275913e-01,1.0000061582e+00,1.0000061582e+00,6.2388248866e-03
interior,,4.2857143283e-01,5.4945056327e-03,5.7137995075e-01,nan,nan,6.3561511939e-02,4.0400658000e-03,1.8828956572e-01,9.9996427142e-01,9.9996427142e-01,4.0400658000e-03
interior,,4.3406593800e-01,5.4945056327e-03,5.6588606827e-01,nan,nan,4.5447787325e-02,2.0655013727e-03,1.8826330860e-01,9.9988090704e-01,9.9988090704e-01,2.0655013727e-03
interior,,4.3956044316e-01,5.4945056327e-03,5.6039268584e-01,nan,nan,2.8806584192e-02,8.2981929281e-04,1.8823198394e-01,9.9978144902e-01,9.9978144902e-01,8.2981929281e-04
interior,,4.4505494833e-01,5.4945056327e-03,5.5489980839e-01,nan,nan,1.6304646213e-02,2.6584148813e-04,1.8820522511e-01,9.9969648393e-01,9.9969648393e-01,2.6584148813e-04
interior,,4.5054945350e-01,5.4945056327e-03,5.4940727563e-01,nan,nan,9.8616289634e-03,9.7251725812e-05,1.8819219403e-01,9.9965510611e-01,9.9965510611e-01,9.7251725812e-05
interior,,4.5604395866e-01,5.4945056327e-03,5.4391478738e-01,nan,nan,1.0246911003e-02,1.0499918510e-04,1.8819946926e-01,9.9967820738e-01,9.9967820738e-01,1.0499918510e-04
interior,,4.6153846383e-01,5.4945056327e-03,5.3842197247e-01,nan,nan,1.5675112927e-02,2.4570916527e-04,1.8822823284e-01,9.9976953866e-01,9.9976953866e-01,2.4570916527e-04
interior,,4.6703296900e-01,5.4945056327e-03,5.3292850027e-01,nan,nan,2.1622582209e-02,4.6753606140e-04,1.8827264959e-01,9.9991056438e-01,9.9991056438e-01,4.6753606140e-04
interior,,4.7252747416e-01,5.4945056327e-03,5.2743419402e-01,nan,nan,2.2888732811e-02,5.2389408968e-04,1.8832140269e-01,1.0000653468e+00,1.0000653468e+00,5.2389408968e-04
interior,,4.7802197933e-01,5.4945056327e-03,5.2193909412e-01,nan,nan,1.6414765820e-02,2.6944453693e-04,1.8836155046e-01,1.0001927998e+00,1.0001927998e+00,2.6944453693e-04
interior,,4.8351648450e-01,5.4945056327e-03,5.1644345022e-01,nan,nan,2.8054185074e-03,7.8703730017e-06,1.8838252139e-01,1.0002593708e+00,1.0002593708e+00,7.8703730017e-06
interior,,4.8901098967e-01,5.4945056327e-03,5.1094765176e-01,nan,nan,-1.4194034544e-02,2.0147061664e-04,1.8837912970e-01,1.0002486043e+00,1.0002486043e+00,2.0147061664e-04
interior,,4.9450549483e-01,5.4945056327e-03,5.0545211725e-01,nan,nan,-2.9775739094e-02,8.8659463857e-04,1.8835323813e-01,1.0001664122e+00,1.0001664122e+00,8.8659463857e-04
interior,,5.0000000000e-01,5.4945056327e-03,4.9995717278e-01,nan,nan,-4.0611509941e-02,1.6492947397e-03,1.8831320019e-01,1.0000393061e+00,1.0000393061e+00,1.6492947397e-03
